label,premise_clean,hypothesis_clean,premise_lemma,hypothesis_lemma,premise_pos,hypothesis_pos
contradiction,"A woman and a young girl smiling for the camera, in front of some flowers.",the mom and daughter are very sad at the dog dying,"a woman and a young girl smile for the camera , in front of some flower .",the mom and daughter be very sad at the dog die,DET NOUN CCONJ DET ADJ NOUN VERB ADP DET NOUN PUNCT ADP NOUN ADP DET NOUN PUNCT,DET NOUN CCONJ NOUN AUX ADV ADJ ADP DET NOUN VERB
contradiction,"A young boy wearing a gray sweater, blue jeans and boots hangs upside down in a tire swing.",The boy is sitting down.,"a young boy wear a gray sweater , blue jean and boot hang upside down in a tire swing .",the boy be sit down .,DET ADJ NOUN VERB DET ADJ NOUN PUNCT ADJ NOUN CCONJ NOUN VERB ADV ADV ADP DET NOUN NOUN PUNCT,DET NOUN AUX VERB ADP PUNCT
contradiction,A woman with a very large black wig and giant sunglasses is holding a mirror up to her face.,The woman is cooking breakfast inside,a woman with a very large black wig and giant sunglass be hold a mirror up to her face .,the woman be cook breakfast inside,DET NOUN ADP DET ADV ADJ ADJ NOUN CCONJ ADJ NOUN AUX VERB DET NOUN ADP ADP PRON NOUN PUNCT,DET NOUN AUX VERB NOUN ADV
contradiction,Oriental man dressed in tank top and shorts is jumping and almost touching his left foot with left hand.,the man is white,oriental man dress in tank top and short be jump and almost touch his left foot with left hand .,the man be white,ADJ NOUN VERB ADP NOUN NOUN CCONJ NOUN AUX VERB CCONJ ADV VERB PRON ADJ NOUN ADP ADJ NOUN PUNCT,DET NOUN AUX ADJ
contradiction,3 girls and one boy playing in the street.,The children are all indoors.,3 girl and one boy play in the street .,the child be all indoor .,NUM NOUN CCONJ NUM NOUN VERB ADP DET NOUN PUNCT,DET NOUN AUX DET NOUN PUNCT
contradiction,Two girls are going for a swim in a mountain lake.,A boy and a girl are having a romantic swim in the city river.,two girl be go for a swim in a mountain lake .,a boy and a girl be have a romantic swim in the city river .,NUM NOUN AUX VERB ADP DET NOUN ADP DET NOUN NOUN PUNCT,DET NOUN CCONJ DET NOUN AUX VERB DET ADJ NOUN ADP DET NOUN NOUN PUNCT
contradiction,A woman fiddles with her phone at a diner.,she is swimming the english channel,a woman fiddle with her phone at a diner .,she be swim the english channel,DET NOUN VERB ADP PRON NOUN ADP DET NOUN PUNCT,PRON AUX VERB DET ADJ NOUN
contradiction,Two women are walking casually down the street together.,There are two men,two woman be walk casually down the street together .,there be two man,NUM NOUN AUX VERB ADV ADP DET NOUN ADV PUNCT,PRON AUX NUM NOUN
contradiction,A bunch of kids in canoes on a river.,A few adults are swimming in the lake.,a bunch of kid in canoe on a river .,a few adult be swim in the lake .,DET NOUN ADP NOUN ADP NOUN ADP DET NOUN PUNCT,DET ADJ NOUN AUX VERB ADP DET NOUN PUNCT
contradiction,A white dog and two black dogs playing,Two cats playing.,a white dog and two black dog play,two cat play .,DET ADJ NOUN CCONJ NUM ADJ NOUN VERB,NUM NOUN VERB PUNCT
contradiction,A group of different people are walking in all different directions in a city.,They are in the country,a group of different people be walk in all different direction in a city .,they be in the country,DET NOUN ADP ADJ NOUN AUX VERB ADP DET ADJ NOUN ADP DET NOUN PUNCT,PRON AUX ADP DET NOUN
contradiction,A red car is passing in front of a double-decker bus.,the car is blue,a red car be pass in front of a double - decker bus .,the car be blue,DET ADJ NOUN AUX VERB ADP NOUN ADP DET ADJ PUNCT NOUN NOUN PUNCT,DET NOUN AUX ADJ
contradiction,A street vendor tends to his stand with lots of kids toys and items.,The man has no goods on his stand.,a street vendor tend to his stand with lot of kid toy and item .,the man have no good on his stand .,DET NOUN NOUN VERB ADP PRON NOUN ADP NOUN ADP NOUN NOUN CCONJ NOUN PUNCT,DET NOUN AUX DET NOUN ADP PRON NOUN PUNCT
contradiction,A woman talking on a cellphone and a man with a mustache emerge up the stairs from an underground subway.,a man steps out of a taxi door,a woman talk on a cellphone and a man with a mustache emerge up the stair from an underground subway .,a man step out of a taxi door,DET NOUN VERB ADP DET NOUN CCONJ DET NOUN ADP DET NOUN NOUN ADP DET NOUN ADP DET ADJ NOUN PUNCT,DET NOUN VERB ADP ADP DET NOUN NOUN
contradiction,"A girl in a khaki jacket sitting next to a girl in an orange jacket on a ski-lift, both are smiling.",the girls fell off of the ski lift but are okay,"a girl in a khaki jacket sit next to a girl in an orange jacket on a ski - lift , both be smile .",the girl fall off of the ski lift but be okay,DET NOUN ADP DET NOUN NOUN VERB ADV ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN PUNCT NOUN PUNCT DET AUX VERB PUNCT,DET NOUN VERB ADP ADP DET NOUN NOUN CCONJ AUX ADJ
